Subject,Filename,Pages
Art-and-Design,art-and-design---option-evening-flyer.md,2
Art-and-Design,gcse-art-and-design---delivery-guide.md,15
Art-and-Design,gcse-art-and-design---faqs.md,4
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,71
Art-and-Design,gcse-art-and-design---unit-1-non-exam-assessment-pack.md,23
Art-and-Design,gcse-art-and-design---unit-2-externally-set-assignment.md,38
Art-and-Design,overview-of-consultation-findings.md,23
Art-and-Design,wjec-gcse-art-and-design-specification.md,26
Business,gcse-business---delivery-guide.md,19
Business,gcse-business---faqs.md,5
Business,gcse-business---guidance-for-teaching-unit-1.md,54
Business,gcse-business---guidance-for-teaching-unit-2.md,67
Business,gcse-business---guidance-for-teaching-unit-3.md,50
Business,gcse-business---guidance-for-teaching-unit-4.md,43
Business,gcse-business---option-evening-flyer.md,2
Business,gcse-business---unit-1-introduction-to-the-business-world.md,35
Business,gcse-business---unit-2-key-business-considerations-sample.md,32
Business,gcse-business---unit-3-business-strategies-for-success.md,35
Business,gcse-business-3160-unit-2-nea-handbook.md,8
Business,overview-of-consultation-findings.md,23
Business,wjec-gcse-business-specification.md,49
Computer-Science,gcse-computer-science---delivery-guide.md,16
Computer-Science,gcse-computer-science---faqs.md,4
Computer-Science,gcse-computer-science---guidance-for-teaching-unit-1.md,147
Computer-Science,gcse-computer-science---guidance-for-teaching-unit-2.md,43
Computer-Science,gcse-computer-science---option-evening-flyer.md,2
Computer-Science,gcse-computer-science---unit-1-understanding-computer-science.md,35
Computer-Science,gcse-computer-science---unit-2-computer-programming-pre-released-materials.md,7
Computer-Science,gcse-computer-science---unit-2-computer-programming.md,28
Computer-Science,overview-of-consultation-findings.md,23
Computer-Science,wjec-gcse-computer-science-specification.md,39
Dance,dance---options-evening-flyer.md,2
Dance,wjec-gcse-dance-specification.md,32
Design-and-Technology,design-and-technology---options-evening-flyer.md,2
Design-and-Technology,wjec-gcse-design-and-technology-specification.md,51
Digital-Media-and-Film,digital-media-and-film---options-evening-flyer.md,2
Digital-Media-and-Film,wjec-gcse-digital-media-and-film-specification.md,37
Digital-Technology,digital-technology---options-evening-flyer.md,2
Digital-Technology,wjec-gcse-digital-technology-specification.md,60
Drama,gcse-drama---delivery-guide.md,28
Drama,gcse-drama---faqs.md,8
Drama,gcse-drama---guidance-for-teaching-unit-1.md,83
Drama,gcse-drama---guidance-for-teaching-unit-2.md,36
Drama,gcse-drama---guidance-for-teaching-unit-3.md,61
Drama,gcse-drama---option-evening-flyer.md,2
Drama,gcse-drama---unit-1-non-exam-assessment-pack-sample.md,60
Drama,gcse-drama---unit-2-non-exam-assessment-pack-sample.md,42
Drama,gcse-drama---unit-3-interpreting-theatre.md,94
Drama,gcse-drama-unit-1-nea-assessment-handbook.md,44
Drama,gcse-drama-unit-2-nea-assessment-handbook.md,29
Drama,overview-of-consultation-findings.md,23
Drama,wjec-gcse-drama-specification.md,29
English-Language-and-Literature,april-2025.md,5
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,223
English-Language-and-Literature,gcse-english-language-and-literature---unit-1-context-and-meaning.md,37
English-Language-and-Literature,gcse-english-language-and-literature---unit-2-belonging.md,31
English-Language-and-Literature,gcse-english-language-and-literature---unit-3-influence-and-power.md,26
English-Language-and-Literature,gcse-english-language-and-literature---unit-4a-motivations.md,77
English-Language-and-Literature,gcse-english-language-and-literature---unit-4b-motivations.md,87
English-Language-and-Literature,gcse-english-language-and-literature---unit-5-continuity-and-change.md,28
English-Language-and-Literature,gcse-english-language-and-literature---unit-6-connections.md,41
English-Language-and-Literature,gcse-english-language-and-literature-double-award---option-evening-flyer.md,2
English-Language-and-Literature,gcse-english-language-and-literature-single-and-double-award---faqs.md,5
English-Language-and-Literature,gcse-english-language-and-literature-single-award---option-evening-flyer.md,2
English-Language-and-Literature,gcse-english-language-and-literature-unit-2-nea-handbook.md,22
English-Language-and-Literature,gcse-english-language-and-literature-unit-3-nea-handbook.md,22
English-Language-and-Literature,gcse-english-language-and-literature-unit-5-nea-handbook.md,23
English-Language-and-Literature,key-dates-2025-26.md,2
English-Language-and-Literature,overview-of-consultation-findings.md,23
English-Language-and-Literature,september-2025.md,10
English-Language-and-Literature,wjec-gcse-english-language-and-literature---non-fiction-anthology-unit-3-and-unit-6.md,50
English-Language-and-Literature,wjec-gcse-english-language-and-literature---poetry-anthology-unit-1-and-unit-5-poetry-anthology.md,26
English-Language-and-Literature,wjec-gcse-english-language-and-literature---unit-2-prose-fiction-list.md,5
English-Language-and-Literature,wjec-gcse-english-language-and-literature-single-and-double-award-specification.md,46
Food-and-Nutrition,appendix-a-chart.md,2
Food-and-Nutrition,gcse-food-and-nutrition---delivery-guide.md,16
Food-and-Nutrition,gcse-food-and-nutrition---faqs.md,4
Food-and-Nutrition,gcse-food-and-nutrition---guidance-for-teaching-unit-1.md,51
Food-and-Nutrition,gcse-food-and-nutrition---guidance-for-teaching-unit-2.md,32
Food-and-Nutrition,gcse-food-and-nutrition---guidance-for-teaching-unit-3.md,42
Food-and-Nutrition,gcse-food-and-nutrition---option-evening-flyer.md,2
Food-and-Nutrition,gcse-food-and-nutrition---unit-1-principles-of-food-and-nutrition.md,33
Food-and-Nutrition,gcse-food-and-nutrition---unit-2-food-investigation.md,30
Food-and-Nutrition,gcse-food-and-nutrition---unit-2-non-exam-assessment-pack.md,30
Food-and-Nutrition,gcse-food-and-nutrition---unit-3-food-and-nutrition-in-action.md,41
Food-and-Nutrition,gcse-food-and-nutrition---unit-3-non-exam-assessment-pack.md,41
Food-and-Nutrition,overview-of-consultation-findings.md,23
Food-and-Nutrition,resources-for-new-gcse.md,14
Food-and-Nutrition,techniques-summary.md,31
Food-and-Nutrition,unit-2---work-smarter-not-harder.md,20
Food-and-Nutrition,unit-3---presenting-food-outcomes.md,19
Food-and-Nutrition,unit-3---upskilling.md,16
Food-and-Nutrition,wjec-gcse-food-and-nutrition-specification.md,37
French,gcse-french---delivery-guide.md,22
French,gcse-french---guidance-for-teaching-unit-1.md,33
French,gcse-french---guidance-for-teaching-unit-2.md,31
French,gcse-french---guidance-for-teaching-unit-3.md,24
French,gcse-french---guidance-for-teaching-unit-4.md,30
French,gcse-french---option-evening-flyer.md,2
French,gcse-french---unit-1-oracy.md,71
French,gcse-french---unit-2-reading-and-writing.md,31
French,gcse-french---unit-3-listening.md,35
French,gcse-french---unit-4-reading-and-writing.md,35
French,gcse-french--faqs.md,4
French,overview-of-consultation-findings.md,23
French,wjec-gcse-french-specification.md,96
Geography,cardiff-metropolitan-university-teacher-survey.md,2
Geography,cylchlythyr-ionawr-2025.md,5
Geography,fieldwork-opportunities-at-gwersyll-yr-urdd-pentre-ifan.md,2
Geography,fsc-teacher-open-days-new-gcse-wales-geography-curriculum.md,2
Geography,gcse-geography---delivery-guide.md,20
Geography,gcse-geography---faqs.md,4
Geography,gcse-geography---guidance-for-teaching-unit-1.md,82
Geography,gcse-geography---guidance-for-teaching-unit-2.md,56
Geography,gcse-geography---guidance-for-teaching-unit-3.md,65
Geography,gcse-geography---guidance-for-teaching-unit-4.md,34
Geography,gcse-geography---guided-learning-hours-table.md,2
Geography,gcse-geography---option-evening-flyer.md,2
Geography,gcse-geography---unit-1-our-physical-and-human-world.md,49
Geography,gcse-geography---unit-3-our-dynamic-and-diverse-world.md,47
Geography,gcse-geography.md,1
Geography,overview-of-consultation-findings.md,23
Geography,royal-meteorological-society-borrow-an-instrument-scheme.md,2
Geography,wjec-gcse-geography-specification.md,48
Geography,wjec-gcse-geography-unit-2-external-nea-handbook.md,33
Geography,wjec-gcse-geography-unit-4-internal-nea-handbook.md,22
German,gcse-german---delivery-guide.md,22
German,gcse-german---faqs.md,4
German,gcse-german---guidance-for-teaching-unit-1.md,37
German,gcse-german---guidance-for-teaching-unit-2.md,27
German,gcse-german---guidance-for-teaching-unit-3.md,27
German,gcse-german---guidance-for-teaching-unit-4.md,33
German,gcse-german---option-evening-flyer.md,2
German,gcse-german---unit-1-oracy.md,71
German,gcse-german---unit-2-reading-and-writing.md,30
German,gcse-german---unit-3-listening.md,31
German,gcse-german---unit-4-reading-and-writing.md,35
German,overview-of-consultation-findings.md,23
German,wjec-gcse-german-specification.md,96
Health-and-Social-Care-and-Childcare,health-and-social-care-and-child-care---options-evening-flyer.md,2
Health-and-Social-Care-and-Childcare,wjec-gcse-health-and-social-care-and-childcare-specification.md,43
History,frequently-asked-questions.md,4
History,gcse-history---delivery-guide.md,17
History,gcse-history---faqs.md,5
History,gcse-history---guidance-for-teaching-unit-1-option-1.1.md,39
History,gcse-history---guidance-for-teaching-unit-1-option-1.2.md,51
History,gcse-history---guidance-for-teaching-unit-1-option-1.3.md,35
History,gcse-history---guidance-for-teaching-unit-1-option-1.4.md,35
History,gcse-history---guidance-for-teaching-unit-1-option-1.5.md,42
History,gcse-history---guidance-for-teaching-unit-1-option-1.6.md,50
History,gcse-history---guidance-for-teaching-unit-2-option-2.1.md,45
History,gcse-history---guidance-for-teaching-unit-2-option-2.2.md,52
History,gcse-history---guidance-for-teaching-unit-2-option-2.3.md,30
History,gcse-history---guidance-for-teaching-unit-2-option-2.4.md,37
History,gcse-history---guidance-for-teaching-unit-2-option-2.5.md,34
History,gcse-history---guidance-for-teaching-unit-2-option-2.6.md,33
History,gcse-history---guidance-for-teaching-unit-3-option-3.1.md,47
History,gcse-history---guidance-for-teaching-unit-3-option-3.2.md,52
History,gcse-history---guidance-for-teaching-unit-3-option-3.3.md,35
History,gcse-history---guidance-for-teaching-unit-3-option-3.4.md,38
History,gcse-history---guidance-for-teaching-unit-3-option-3.5.md,35
History,gcse-history---guidance-for-teaching-unit-3-option-3.6.md,30
History,gcse-history---guidance-for-teaching-unit-4---a-changing-society-early-modern---example-teaching-pack.md,26
History,gcse-history---guidance-for-teaching-unit-4---a-changing-society-medieval---example-teaching-pack.md,25
History,gcse-history---guidance-for-teaching-unit-4---a-changing-society-modern---example-teaching-pack.md,23
History,gcse-history---guidance-for-teaching-unit-4.md,22
History,gcse-history---option-evening-flyer.md,2
History,gcse-history---unit-1-an-in-depth-study-on-welsh-history---early-modern.md,34
History,gcse-history---unit-1-an-in-depth-study-on-welsh-history---medieval.md,35
History,gcse-history---unit-1-an-in-depth-study-on-welsh-history---modern.md,36
History,gcse-history---unit-3-a-study-of-a-period-in-world-history---early-modern.md,36
History,gcse-history---unit-3-a-study-of-a-period-in-world-history---medieval.md,38
History,gcse-history---unit-3-a-study-of-a-period-in-world-history---modern.md,36
History,gcse-history---unit-4-a-changing-society.md,36
History,overview-of-consultation-findings.md,23
History,wjec-gcse-history-specification.md,66
Integrated-Science-Single-Award,september-2025.md,5
Integrated-Science-Single-Award,wjec-gcse-integrated-science-specification.md,48
Level-2-Additional-Mathematics,additional-mathematics---options-evening-flyer.md,2
Level-2-Additional-Mathematics,september-2025.md,7
Level-2-Additional-Mathematics,wjec-level-2-additional-mathematics-specification.md,43
Mathematics-and-Numeracy,april-2025.md,5
Mathematics-and-Numeracy,gcse-mathematics-and-numeracy---guidance-for-teaching.md,98
Mathematics-and-Numeracy,gcse-mathematics-and-numeracy---option-evening-flyer.md,2
Mathematics-and-Numeracy,gcse-mathematics-and-numeracy---unit-1-financial-mathematics-and-other-applications-of-numeracy-foundation-tier.md,30
Mathematics-and-Numeracy,gcse-mathematics-and-numeracy---unit-1-financial-mathematics-and-other-applications-of-numeracy-higher-tier.md,34
Mathematics-and-Numeracy,gcse-mathematics-and-numeracy---unit-2-non-calculator-foundation-tier.md,29
Mathematics-and-Numeracy,gcse-mathematics-and-numeracy---unit-2-non-calculator-higher-tier.md,36
Mathematics-and-Numeracy,gcse-mathematics-and-numeracy---unit-3-calculator-allowed-foundation-tier.md,39
Mathematics-and-Numeracy,gcse-mathematics-and-numeracy---unit-3-calculator-allowed-higher-tier.md,41
Mathematics-and-Numeracy,gcse-mathematics-and-numeracy-double-award---faqs.md,6
Mathematics-and-Numeracy,january-2025.md,5
Mathematics-and-Numeracy,overview-of-consultation-findings.md,23
Mathematics-and-Numeracy,september-2025.md,7
Mathematics-and-Numeracy,wjec-gcse-mathematics-and-numeracy-specification.md,64
Music,gcse-music---delivery-guide.md,15
Music,gcse-music---faqs.md,7
Music,gcse-music---guidance-for-teaching.md,37
Music,gcse-music---option-evening-flyer.md,2
Music,gcse-music---unit-1-non-exam-assessment-pack-sample.md,54
Music,gcse-music---unit-2-composing-sample.md,26
Music,gcse-music---unit-3-appraising.md,37
Music,gcse-music-unit-1-nea-assessment-handbook.md,42
Music,gcse-music-unit-2-nea-assessment-handbook.md,15
Music,overview-of-consultation-findings.md,23
Music,wjec-gcse-music-specification.md,33
Physical-Education-and-Health,physical-education-and-health-options-evening-flyer.md,2
Physical-Education-and-Health,wjec-gcse-physical-education-and-health-specification.md,35
Religious-Studies,gcse-religious-studies---delivery-guide.md,32
Religious-Studies,gcse-religious-studies---faqs.md,6
Religious-Studies,gcse-religious-studies---guidance-for-teaching-unit-1.md,171
Religious-Studies,gcse-religious-studies---guidance-for-teaching-unit-2.md,22
Religious-Studies,gcse-religious-studies---guidance-for-teaching-unit-3.md,162
Religious-Studies,gcse-religious-studies---guidance-for-teaching-unit-4.md,21
Religious-Studies,gcse-religious-studies---unit-1-sample-assessment-materials.md,88
Religious-Studies,gcse-religious-studies---unit-2-non-exam-assessment-pack-sample.md,28
Religious-Studies,gcse-religious-studies---unit-3-sample-assessment-materials.md,85
Religious-Studies,gcse-religious-studies---unit-4-non-exam-assessment-pack.md,30
Religious-Studies,gcse-religious-studies-unit-2-nea-handbook.md,23
Religious-Studies,overview-of-consultation-findings.md,23
Religious-Studies,religious-studies-options-evening-flyer.md,2
Religious-Studies,wjec-gcse-religious-studies-specification.md,95
Social-Studies,social-studies---options-evening-flyer.md,2
Social-Studies,wjec-gcse-social-studies-specification.md,44
Spanish,gcse-spanish---delivery-guide.md,22
Spanish,gcse-spanish---faqs.md,4
Spanish,gcse-spanish---guidance-for-teaching-unit-1.md,31
Spanish,gcse-spanish---guidance-for-teaching-unit-2.md,26
Spanish,gcse-spanish---guidance-for-teaching-unit-3.md,35
Spanish,gcse-spanish---guidance-for-teaching-unit-4.md,28
Spanish,gcse-spanish---options-evening-flyer.md,2
Spanish,gcse-spanish---unit-1-oracy.md,70
Spanish,gcse-spanish---unit-2-reading-and-writing.md,29
Spanish,gcse-spanish---unit-3-listening.md,28
Spanish,gcse-spanish---unit-4-reading-and-writing.md,33
Spanish,overview-of-consultation-findings.md,23
Spanish,wjec-gcse-spanish-specification.md,97
The-Sciences-Double-Award,september-2025.md,5
The-Sciences-Double-Award,wjec-gcse-the-sciences-double-award-specification.md,80
